,Weight,Screen_size,resolution1,resolution2,CPU_Brand,RAM,storage_amount,Storage_type,GPU_Brand,OS,Pred_Class
254,1.59,11.6,1366.0,768.0,2,4,128,2,3,6,5
255,1.6,12.5,1920.0,1080.0,2,8,256,2,3,6,5
256,1.6,13.3,1366.0,768.0,2,4,128,2,3,6,5
257,1.6,13.3,1920.0,1080.0,2,8,256,2,3,6,5
258,1.6,13.3,1920.0,1080.0,2,12,256,2,3,6,5
259,1.6,14.0,1366.0,768.0,2,4,128,2,3,6,5
260,1.6,14.0,1366.0,768.0,2,4,500,0,3,6,5
261,1.6,14.0,1366.0,768.0,2,8,256,2,3,6,5
262,1.6,14.0,1920.0,1080.0,2,4,32,2,3,6,5
263,1.6,14.0,1920.0,1080.0,2,4,128,2,3,6,5
264,1.6,14.0,1920.0,1080.0,2,8,128,2,3,6,5
266,1.6,14.0,1920.0,1080.0,2,8,256,2,3,6,5
267,1.6,14.0,1920.0,1080.0,2,16,1256,1,4,6,3
268,1.62,13.3,1920.0,1080.0,2,8,256,2,3,6,5
269,1.62,13.3,1920.0,1080.0,2,8,1000,0,3,6,3
270,1.62,13.3,1920.0,1080.0,2,16,512,2,3,6,5
271,1.63,11.6,1366.0,768.0,2,4,128,2,3,6,5
272,1.63,14.0,1366.0,768.0,2,4,32,2,3,6,5
273,1.63,14.0,1366.0,768.0,2,4,500,0,3,6,5
274,1.63,14.0,1920.0,1080.0,2,4,128,2,4,6,5
275,1.63,14.0,1920.0,1080.0,2,8,256,2,3,6,5
276,1.63,14.0,1920.0,1080.0,2,8,256,2,4,6,7
277,1.63,14.0,1920.0,1080.0,2,8,512,2,3,6,3
278,1.63,14.0,1920.0,1080.0,2,8,1000,0,3,6,3
279,1.63,15.6,1366.0,768.0,2,4,128,2,3,6,5
280,1.63,15.6,1920.0,1080.0,2,16,512,2,4,6,7
281,1.64,14.0,1366.0,768.0,2,4,256,2,3,6,5
282,1.64,14.0,1366.0,768.0,2,4,500,0,3,6,5
283,1.64,14.0,1920.0,1080.0,2,8,256,2,3,6,5
285,1.64,14.0,1920.0,1080.0,2,8,256,2,4,6,7
286,1.65,13.3,1366.0,768.0,2,4,128,2,3,6,5
287,1.65,13.3,1366.0,768.0,2,4,500,0,3,6,5
288,1.65,14.0,1366.0,768.0,0,2,32,2,0,6,5
289,1.65,14.0,1366.0,768.0,0,4,64,2,0,6,5
290,1.65,14.0,1920.0,1080.0,2,8,256,2,3,6,5
291,1.65,14.1,1366.0,768.0,2,4,32,2,3,6,5
292,1.68,13.3,1920.0,1080.0,2,8,256,2,3,6,5
295,1.68,15.6,1366.0,768.0,0,4,1000,0,0,6,3
296,1.7,14.0,1366.0,768.0,2,4,508,1,3,6,5
297,1.7,14.0,1920.0,1080.0,2,4,128,2,3,6,5
298,1.7,14.0,1920.0,1080.0,2,4,256,2,3,6,5
299,1.7,14.0,1920.0,1080.0,2,4,1000,2,3,6,8
301,1.7,14.0,1920.0,1080.0,2,8,256,2,3,6,5
302,1.7,14.0,1920.0,1080.0,2,8,1000,2,3,6,8
303,1.7,14.0,1920.0,1080.0,2,16,512,2,3,6,5
304,1.7,14.0,1920.0,1080.0,2,16,1256,1,4,6,3
305,1.7,14.0,2560.0,1440.0,2,8,512,2,4,6,8
306,1.7,15.6,1920.0,1080.0,2,8,256,2,4,6,7
307,1.71,13.3,1920.0,1080.0,2,4,1000,0,3,6,3
308,1.71,15.0,1920.0,1080.0,2,16,256,2,0,6,5
309,1.74,14.0,1920.0,1080.0,2,4,256,2,3,6,5
310,1.74,14.0,1920.0,1080.0,2,8,256,2,3,6,5
311,1.75,14.0,1366.0,768.0,2,4,128,2,3,6,5
312,1.75,14.0,1366.0,768.0,2,4,500,0,3,6,5
313,1.75,14.0,1920.0,1080.0,2,8,256,2,0,6,5
314,1.75,14.0,1920.0,1080.0,2,8,256,2,3,6,5
315,1.76,14.0,1366.0,768.0,2,4,500,0,3,6,5
316,1.78,15.6,1920.0,1080.0,2,8,256,2,4,6,7
317,1.78,15.6,3840.0,2160.0,2,8,256,2,4,6,8
318,1.79,14.0,1366.0,768.0,2,8,128,2,3,6,5
319,1.8,14.0,1920.0,1080.0,2,4,128,2,3,6,5
320,1.8,14.0,1920.0,1080.0,2,8,256,2,3,6,5
321,1.8,14.0,1920.0,1080.0,2,8,512,2,4,6,7
322,1.8,15.6,1366.0,768.0,2,4,500,0,3,6,5
323,1.8,15.6,1920.0,1080.0,2,4,256,2,3,6,5
324,1.8,15.6,1920.0,1080.0,2,16,512,2,4,6,5
325,1.8,15.6,1920.0,1080.0,2,16,1256,1,4,6,3
326,1.8,15.6,1920.0,1080.0,2,16,2256,1,4,6,0
327,1.8,15.6,3840.0,2160.0,2,16,2256,1,4,6,0
328,1.83,15.4,2880.0,1800.0,2,16,256,2,0,2,8
329,1.83,15.4,2880.0,1800.0,2,16,512,2,0,2,8
330,1.83,15.6,1920.0,1080.0,2,8,256,2,4,6,7
331,1.84,15.6,1920.0,1080.0,2,8,256,2,0,6,5
332,1.84,15.6,1920.0,1080.0,2,8,256,2,3,6,5
333,1.84,15.6,1920.0,1080.0,2,8,512,2,3,6,5
334,1.84,15.6,1920.0,1080.0,2,8,756,1,3,6,3
336,1.85,15.6,1920.0,1080.0,2,4,1000,0,3,6,3
337,1.86,15.6,1366.0,768.0,0,4,256,2,0,6,5
339,1.86,15.6,1366.0,768.0,0,4,500,0,0,6,5
341,1.86,15.6,1366.0,768.0,2,4,128,2,3,6,5
342,1.86,15.6,1366.0,768.0,2,4,500,0,0,6,5
344,1.86,15.6,1366.0,768.0,2,4,500,0,3,6,5
346,1.86,15.6,1366.0,768.0,2,4,1000,0,3,6,3
347,1.86,15.6,1920.0,1080.0,0,4,256,2,0,6,5
348,1.86,15.6,1920.0,1080.0,2,4,256,2,3,6,5
350,1.86,15.6,1920.0,1080.0,2,4,500,0,3,6,5
351,1.86,15.6,1920.0,1080.0,2,4,1000,0,3,6,3
353,1.86,15.6,1920.0,1080.0,2,8,256,2,3,6,5
354,1.86,15.6,1920.0,1080.0,2,8,1000,0,3,6,3
355,1.87,14.0,1920.0,1080.0,2,4,500,0,3,6,3
356,1.87,14.0,1920.0,1080.0,2,8,256,2,4,6,5
357,1.88,15.6,1366.0,768.0,2,4,500,0,3,6,5
358,1.88,15.6,1920.0,1080.0,2,8,256,2,3,6,5
359,1.88,15.6,1920.0,1080.0,2,8,512,1,3,6,5
360,1.88,15.6,1920.0,1080.0,2,16,768,1,3,6,3
361,1.89,15.6,1920.0,1080.0,2,4,64,2,3,6,5
362,1.9,14.0,1920.0,1080.0,2,8,256,2,3,6,5
364,1.9,15.6,1366.0,768.0,2,4,128,2,3,6,5
366,1.9,15.6,1366.0,768.0,2,4,500,0,3,6,5
369,1.9,15.6,1366.0,768.0,2,8,500,0,3,6,3
370,1.9,15.6,1920.0,1080.0,2,4,1000,0,3,6,3
371,1.9,15.6,1920.0,1080.0,2,8,128,2,3,6,5
372,1.9,15.6,1920.0,1080.0,2,8,256,2,0,6,5
373,1.9,15.6,1920.0,1080.0,2,8,256,2,3,6,5
374,1.9,15.6,1920.0,1080.0,2,8,500,0,0,6,3
375,1.9,15.6,1920.0,1080.0,2,8,500,0,3,6,3
376,1.9,15.6,1920.0,1080.0,2,8,1000,0,0,6,3
377,1.9,15.6,1920.0,1080.0,2,8,1128,1,0,6,6
378,1.9,15.6,1920.0,1080.0,2,8,1128,1,4,6,6
379,1.91,15.6,1366.0,768.0,0,8,128,2,0,6,5
380,1.91,15.6,1366.0,768.0,2,8,128,2,3,6,5
381,1.91,15.6,1366.0,768.0,2,8,256,2,0,6,5
382,1.91,15.6,1366.0,768.0,2,8,256,2,3,6,5
383,1.91,15.6,1920.0,1080.0,0,4,256,2,0,6,5
384,1.91,15.6,1920.0,1080.0,0,6,128,2,0,6,5
385,1.91,15.6,1920.0,1080.0,2,4,128,2,3,6,5
386,1.91,15.6,1920.0,1080.0,2,6,256,2,0,6,5
387,1.91,15.6,1920.0,1080.0,2,8,256,2,0,6,5
388,1.91,15.6,1920.0,1080.0,2,8,256,2,3,6,5
389,1.91,15.6,1920.0,1080.0,2,8,1000,0,4,6,3
390,1.91,15.6,1920.0,1080.0,2,16,1128,1,4,6,6
392,1.93,15.6,1366.0,768.0,2,4,500,0,3,6,5
393,1.93,15.6,1920.0,1080.0,2,8,256,2,4,6,5
394,1.93,15.6,1920.0,1080.0,2,16,256,2,4,6,5
395,1.93,15.6,1920.0,1080.0,2,16,512,2,3,6,5
396,1.94,14.0,1366.0,768.0,2,8,2000,0,3,6,0
397,1.95,14.0,1366.0,768.0,2,4,500,0,3,6,5
398,1.95,14.0,1920.0,1080.0,2,4,128,2,3,6,5
399,1.95,14.0,1920.0,1080.0,2,4,256,2,3,6,5
400,1.95,14.0,1920.0,1080.0,2,8,256,2,3,6,5
401,1.95,14.0,1920.0,1080.0,2,16,256,2,4,6,5
402,1.95,14.0,1920.0,1080.0,2,16,512,2,4,6,5
403,1.95,14.0,1920.0,1080.0,2,16,1000,2,4,6,8
404,1.95,15.6,1366.0,768.0,2,4,500,0,3,6,5
405,1.95,15.6,1366.0,768.0,2,8,128,2,3,6,5
406,1.95,15.6,1920.0,1080.0,0,6,256,2,0,6,5
407,1.95,15.6,1920.0,1080.0,2,8,256,2,3,6,5
409,1.95,15.6,1920.0,1080.0,2,8,512,2,3,6,5
411,1.96,14.0,1920.0,1080.0,2,8,256,2,4,6,5
413,1.96,15.6,1366.0,768.0,2,4,1000,0,3,6,3
414,1.96,15.6,1920.0,1080.0,2,8,256,2,3,6,5
417,1.98,15.6,1920.0,1080.0,2,8,1000,0,4,6,3
418,1.99,15.6,1920.0,1080.0,2,8,512,2,3,6,3
419,1.99,15.6,1920.0,1080.0,2,8,1000,0,4,6,3
420,1.99,15.6,1920.0,1080.0,2,8,1128,1,4,6,6
421,2.0,14.0,1920.0,1080.0,2,4,256,2,3,6,5
422,2.0,14.0,1920.0,1080.0,2,8,256,2,3,6,5
423,2.0,14.0,1920.0,1080.0,2,8,1256,1,3,6,3
424,2.0,15.6,1366.0,768.0,0,4,500,0,0,6,5
425,2.0,15.6,1366.0,768.0,2,4,256,2,3,6,5
427,2.0,15.6,1366.0,768.0,2,4,500,0,3,6,5
429,2.0,15.6,1366.0,768.0,2,4,1000,0,3,6,3
430,2.0,15.6,1366.0,768.0,2,8,128,2,3,6,5
431,2.0,15.6,1366.0,768.0,2,8,256,2,3,6,5
432,2.0,15.6,1366.0,768.0,2,8,1000,0,3,6,3
435,2.0,15.6,1920.0,1080.0,2,4,1000,0,3,6,3
436,2.0,15.6,1920.0,1080.0,2,6,256,2,4,6,5
437,2.0,15.6,1920.0,1080.0,2,8,8,2,4,6,5
