,Weight,Category,Screen_size,Screen_type,Screen_resolution,CPU_Brand,CPU_series,CPU_model,RAM,Storage_amount,Storage_type,Storage_info,GPU_Brand,GPU_Model,OS,original_price,after_discount,persian_info,full_info,discount_percent
2879,2.6,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,768 * 1366,INTEL,Core i5,i5-5200U,4.0,512000.0,SATA,,Intel,hd graphics 5500,Dos,,,لپ تاپ لنوو مدل جی 5080 با پردازنده i5,G5080 Core i5 4GB 500GB Intel,0.0
2880,2.5,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,768 * 1366,AMD,,A4-6210,6.0,1024.0,SATA,,AMD Radeon,r5 m230,Dos,,,لپ تاپ لنوو مدل جی 5045 با پردازنده ای ام دی,Essential G5045 A4-6210 6GB 1TB 2GB,0.0
2881,2.5,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,768 * 1366,AMD,,A4-6210,4.0,512000.0,SATA,,AMD Radeon,r5 m230,Dos,,,لپ تاپ لنوو مدل جی 5045 با پردازنده ای ام دی,G5045 A4-6210 4GB 500GB 1GB,0.0
2882,2.3,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,1080 * 1920,INTEL,Core i7,i7-5500U,16.0,1024.0,SATA,,AMD Radeon,r9 m375,Dos,,,لپ تاپ لنوو سری Z مدل 5170 با پردازنده i7,Z5170 Core i7 16GB 1TB 2GB Full HD Laptop,0.0
2883,2.3,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,768 * 1366,INTEL,Core i5,i5-5200U,4.0,512000.0,SATA,,AMD Radeon,r5 m330,Dos,,,لپ تاپ لنوو مدل ای 5080 با پردازنده i5,E5080 Core i5 4GB 500GB 2GB Laptop,0.0
2884,1.9,نوت بوک (لپ تاپ),14.1,IPS or LED-backlit,1080 * 1920,INTEL,Core i7,i7-5500U,8.0,82944.0,"SSD, SATA",,Nvidia Gforce,gt 920m,Microsoft Windows 8.1,,,لپ تاپ لنوو سری یوگا 500 با پردازنده i7,Yoga 500 Core i7 8GB 1TB+8GB SSD 2GB Full HD,0.0
2885,2.5,نوت بوک (لپ تاپ),15.6,IPS or LED-backlit,768 * 1366,INTEL,Pentium,Pentium-N3540,2.0,512000.0,SATA,,Intel,hd graphics,Dos,,,لپ تاپ لنوو سری B مدل 5030 با پردازنده پنتیوم,B5030 N3540 2GB 500GB Intel,0.0
2886,1.39,نوت بوک (لپ تاپ),11.6,IPS or LED-backlit,768 * 1366,INTEL,Celeron,Pentium-N3540,4.0,1024.0,SATA,,Intel,hd graphics,Microsoft Windows 10,,,لپ تاپ لنوو سری یوگا با پردازنده سلرون و صفحه نمایش لمسی,Yoga 300 N3540 4GB 1TB Intel Touch,0.0
2887,2.2,نوت بوک (لپ تاپ),15.6,,1080 * 1920,INTEL,Core i7,i7 10750H,16.0,2622464.0,Hybrid,,Nvidia Gforce,gtx 1650,Dos,,,لپ تاپ لنوو 15.6 اینچ مدل Ideapad Gaming 3 پردازنده i7 10750H رم 16GB هارد 1TB 256 SSD گرافیک 4GB,IdeaPad Gaming 3 i7 10750H 16GB 1T 256 SSD 4GB 1650,0.0
2888,1.78,نوت بوک (لپ تاپ),11.6,IPS or LED-backlit,768 * 1366,INTEL,Core i3,i3-3227U,4.0,327680.0,SATA,,Intel,hd graphics 4000,Dos,,,لپ تاپ لنوو مدل ایکس 131 با پردازنده i3,ThinkPad X131 Core i3 4GB 320GB Intel,0.0
