url,price_after_discount,original_price
/product/120364/microsoft-surface-laptop-3-core-i7-16gb-256gb-ssd-intel-touch-15-inch-laptop/,"50,300,000 تومان","51,300,000 تومان"
/product/120266/microsoft-surface-laptop-3-15inch-core-i5-8gb-128gb-ssd-intel-touch-laptop/,"39,330,000 تومان","40,330,000 تومان"
/product/123560/microsoft-surface-laptop-studio-14-4inch-core-i7-11370h-32gb-2tb-ssd-4gb-rtx-a20/,"139,000,000 تومان","140,000,000 تومان"
/product/123563/microsoft-surface-laptop-studio-14-4inch-core-i7-11370h-16gb-512gb-ssd-4gb-rtx-3/,"93,383,000 تومان","94,383,000 تومان"
/product/134606/acer-aspire-a315-core-i3-1115g4-16gb-1tb-ssd-intel-full-hd-laptop/,"17,900,000 تومان",
/product/134376/asus-x1500ea-core-i3-1115g4-4gb-256gb-ssd-intel-full-hd-laptop/,"16,074,000 تومان","16,199,000 تومان"
/product/134377/asus-x1500ea-core-i3-1115g4-8gb-512gb-ssd-intel-full-hd-laptop/,"17,289,000 تومان","17,399,000 تومان"
/product/134300/asus-x515ep-core-i7-1165g7-12gb-1tb-ssd-2gb-mx330-fhd-laptop/,"32,074,000 تومان","32,199,000 تومان"
/product/132128/acer-aspire-7-a715-51g-core-i5-1240p-16gb-1tb-ssd-4gb-3050-full-hd-laptop/,"38,500,000 تومان","38,700,000 تومان"
/product/132129/acer-aspire-7-a715-51g-core-i5-1240p-16gb-512gb-ssd-4gb-3050-full-hd-laptop/,"36,990,000 تومان","37,190,000 تومان"
/product/132130/acer-aspire-7-a715-51g-core-i5-1240p-8gb-512gb-ssd-4gb-3050-full-hd-laptop/,"35,900,000 تومان","36,100,000 تومان"
/product/132219/acer-nitro-5-an515-58-754d-core-i7-12700h-32gb-1tb-ssd-4gb-3050-full-hd-laptop/,"49,300,000 تومان","49,500,000 تومان"
/product/132220/acer-nitro-5-an515-58-754d-core-i7-12700h-16gb-1tb-ssd-4gb-3050-full-hd-laptop/,"48,100,000 تومان","48,300,000 تومان"
/product/132221/acer-nitro-5-an515-58-754d-core-i7-12700h-16gb-512gb-ssd-4gb-3050-full-hd-laptop/,"46,075,000 تومان","46,300,000 تومان"
/product/132111/acer-aspire-7-a715-51g-754e-core-i7-1260p-16gb-1tb-ssd-4gb-3050-full-hd-laptop/,"42,900,000 تومان","43,100,000 تومان"
/product/132112/acer-aspire-7-a715-51g-754e-core-i7-1260p-16gb-512gb-ssd-4gb-3050-full-hd-laptop/,"40,800,000 تومان","41,000,000 تومان"
/product/129316/acer-aspire-a315-core-i3-1115g4-12gb-1tb-512gb-ssd-2gb-full-hd-laptop/,"20,700,000 تومان","20,800,000 تومان"
/product/127077/acer-aspire-a315-core-i3-1115g4-12gb-1tb-256gb-ssd-2gb-full-hd-laptop/,"20,100,000 تومان","20,300,000 تومان"
/product/124140/acer-aspire-a315-core-i3-1115g4-8gb-1tb-128gb-ssd-2gb-full-hd-laptop/,"19,100,000 تومان","19,300,000 تومان"
/product/121895/acer-aspire-a315-core-i3-1115g4-4gb-1tb-intel-full-hd-laptop/,"14,700,000 تومان","14,800,000 تومان"
/product/121896/acer-aspire-a315-core-i3-1115g4-8gb-1tb-intel-full-hd-laptop/,"15,300,000 تومان",
/product/121897/acer-aspire-a315-core-i3-1115g4-12gb-1tb-intel-full-hd-laptop/,"15,800,000 تومان","15,900,000 تومان"
/product/122400/acer-aspire-a315-core-i3-1115g4-8gb-1tb-256gb-ssd-2gb-full-hd-laptop/,"19,700,000 تومان","19,800,000 تومان"
/product/118521/lenovo-ideapad-5-core-i7-1165g7-16gb-512gb-ssd-2gb-fhd-laptop/,"33,500,000 تومان","33,600,000 تومان"
/product/118495/lenovo-thinkbook-15-core-i3-1115g4-12gb-1tb-512gb-ssd-intel-fhd-laptop/,"18,670,000 تومان","18,770,000 تومان"
/product/118227/lenovo-thinkbook-15-core-i3-1115g4-8gb-1tb-512gb-ssd-intel-fhd-laptop/,"18,270,000 تومان",
