,ID,Manufacturer_Name
0,1,HP
1,2,Toshiba
2,3,Google
3,4,Dell
4,5,Microsoft
5,6,Vero
6,7,Huawei
7,8,Asus
8,9,MSI
9,10,Xiaomi
10,11,Samsung
11,12,Mediacom
12,13,LG
13,14,Lenovo
14,15,Acer
15,16,Razer
16,17,Fujitsu
17,18,Chuwi
18,19,Apple
