,ID,Manufacturer_Name
0,1,Samsung
1,2,Dell
2,3,Toshiba
3,4,Acer
4,5,Apple
5,6,Google
6,7,HP
7,8,Xiaomi
8,9,Microsoft
9,10,Vero
10,11,Razer
11,12,Chuwi
12,13,Mediacom
13,14,Lenovo
14,15,LG
15,16,Huawei
16,17,MSI
17,18,Fujitsu
18,19,Asus
