,ID,CPU_Name,CPU_Brand,CPU_Model,CPU_Speed
84,85,Intel Atom x5-Z8350 1.44GHz,Intel,Atom x5-Z8350,1.44
85,86,Intel Core i7 2.9GHz,Intel,Core i7 2.,9
86,87,Intel Core M 7Y30 1.0GHz,Intel,Core M 7Y30,1.0
87,88,Intel Core i5 7440HQ 2.8GHz,Intel,Core i5 7440HQ,2.8
88,89,Intel Core i5 2.9GHz,Intel,Core i5 2.,9
89,90,Intel Core i5 6300HQ 2.3GHz,Intel,Core i5 6300HQ,2.3
90,91,Intel Core i3 7130U 2.7GHz,Intel,Core i3 7130U,2.7
91,92,Intel Core M 6Y30 0.9GHz,Intel,Core M 6Y30,0.9
92,93,Intel Core i3 6100U 2.1GHz,Intel,Core i3 6100U,2.1
93,94,Intel Core i7 6560U 2.2GHz,Intel,Core i7 6560U,2.2
94,95,Intel Core M m7-6Y75 1.2GHz,Intel,Core M m7-6Y75,1.2
95,96,Intel Core i7 7820HK 2.9GHz,Intel,Core i7 7820HK,2.9
96,97,Intel Core i5 6260U 1.8GHz,Intel,Core i5 6260U,1.8
97,98,Intel Core i7 7560U 2.4GHz,Intel,Core i7 7560U,2.4
98,99,Intel Core i7 7600U 2.8GHz,Intel,Core i7 7600U,2.8
99,100,Intel Core i7 7700HQ 2.7GHz,Intel,Core i7 7700HQ,2.7
100,101,Intel Core i7 6820HQ 2.7GHz,Intel,Core i7 6820HQ,2.7
101,102,Intel Core M M3-6Y30 0.9GHz,Intel,Core M M3-6Y30,0.9
102,103,Intel Core i5 7Y57 1.2GHz,Intel,Core i5 7Y57,1.2
103,104,Intel Core i5 1.6GHz,Intel,Core i5 1.,6
104,105,AMD A6-Series 9220 2.9GHz,AMD,A6-Series 9220,2.9
105,106,Intel Celeron Quad Core N3160 1.6GHz,Intel,Celeron Quad Core N3160,1.6
106,107,Intel Core i7 2.2GHz,Intel,Core i7 2.,2
107,108,AMD A9-Series A9-9420 3GHz,AMD,A9-Series A9-9420,3
108,109,AMD E-Series E2-9000e 1.5GHz,AMD,E-Series E2-9000e,1.5
109,110,Intel Xeon E3-1535M v6 3.1GHz,Intel,Xeon E3-1535M v6,3.1
110,111,Intel Core i7 6820HK 2.7GHz,Intel,Core i7 6820HK,2.7
111,112,Intel Pentium Dual Core 4405Y 1.5GHz,Intel,Pentium Dual Core 4405Y,1.5
112,113,Intel Core i3 6006U 2.0GHz,Intel,Core i3 6006U,2.0
113,114,Intel Core i5 7200U 2.7GHz,Intel,Core i5 7200U,2.7
114,115,Intel Core i5 3.1GHz,Intel,Core i5 3.,1
115,116,Intel Core i7 6500U 2.50GHz,Intel,Core i7 6500U,2.50
116,117,Intel Core i5 7200U 2.70GHz,Intel,Core i5 7200U,2.70
117,118,Intel Core i5 6300U 2.4GHz,Intel,Core i5 6300U,2.4
