,Weight,Category,Screen_size,Screen_type,Screen_resolution,CPU_Brand,CPU_series,CPU_model,RAM,Storage_amount,Storage_type,Storage_info,GPU_Brand,GPU_Model,OS,original_price,after_discount,persian_info,full_info,discount_percent,predicted_price
172,1.8,نوت بوک (لپ تاپ),15.6,fhd,1080 * 1920,INTEL,Core i5,i5-1135G7,12.0,256.0,Hybrid,SSD NVMe,Nvidia,geforcemx330,,28633000.0,28523000.0,لپ تاپ ایسوس 15.6 اینچی مدل VivoBook R565EP پردازنده Core i5 1135G7 رم 12GB حافظه 1TB 256GB SSD گرافیک 2GB,VivoBook R565EP Core i5 1135G7 12GB 1TB 256GB SSD 2GB Full HD Laptop,0.38,30861525.0
178,1.7,نوت بوک (لپ تاپ),15.6,"ips-level panel, led backlit",1080 * 1920,INTEL,Core i5,i5 - 1235U,8.0,528.0,SSD,SSD NVMe,Intel,irisplus,,27699000.0,26749000.0,لپ تاپ ایسوس 15.6 اینچی مدل VivoBook R1502ZA پردازنده Core i5 رم 8GB حافظه 512GB SSD گرافیک INTEL,VivoBook R1502ZA Core i5 1235U 8GB 512GB SSD INTEL Full HD Laptop,3.43,26712270.0
179,1.8,نوت بوک (لپ تاپ),15.6,fhd,1080 * 1920,INTEL,Core i5,i5-1135G7,20.0,1024.0,SSD,SSD NVMe,Nvidia,geforcemx330,,30199000.0,30049000.0,لپ تاپ ایسوس 15.6 اینچی مدل X515EP پردازنده Core i5 1135G7 رم 20GB حافظه 1TB SSD گرافیک 2GB,X515EP Core i5 1135G7 20GB 1TB SSD 2GB MX330 FHD Laptop,0.5,30379142.5
182,1.7,نوت بوک (لپ تاپ),15.6,"ips-level panel, led backlit",1080 * 1920,INTEL,Core i7,i7-1255U,8.0,528.0,SSD,SSD NVMe,Intel,irisplus,,30299000.0,30184000.0,لپ تاپ ایسوس 15.6 اینچی مدل VivoBook R1502ZA پردازنده Core i7 رم 8GB حافظه 512GB SSD گرافیک INTEL,VivoBook R1502ZA Core i7 1255U 8GB 512GB SSD INTEL Full HD Laptop,0.38,35078512.5
185,1.8,نوت بوک (لپ تاپ),15.6,fhd,1080 * 1920,INTEL,Core i7,i7 1165G7,12.0,528.0,SSD,SSD NVMe,Nvidia,geforcemx330,,33499000.0,33379000.0,لپ تاپ ایسوس 15.6 اینچی مدل VivoBook R565EP پردازنده Core i7 1165G7 رم 12GB حافظه 512GB SSD گرافیک 2GB,VivoBook R565EP Core i7 1165G7 12GB 512GB SSD 2GB Full HD Laptop,0.36,32910182.14285714
187,1.7,نوت بوک (لپ تاپ),16.0,wuxga,1200*1920,INTEL,Core i7,i7-1255U,16.0,528.0,SSD,SSD NVMe,Intel,irisplus,,33599000.0,32599000.0,لپ تاپ ایسوس 16 اینچی مدل VivoBook R1605ZA پردازنده Core i7 رم 16GB حافظه 512GB SSD گرافیک INTEL,VivoBook R1605ZA Core i7 1255U 16GB 512GB SSD INTEL WUXGA Laptop,2.98,57516397.5
189,1.7,نوت بوک (لپ تاپ),16.0,wuxga,1200*1920,INTEL,Core i5,i5 - 1235U,16.0,528.0,SSD,SSD NVMe,Intel,irisplus,,28999000.0,28814000.0,لپ تاپ ایسوس 16 اینچی مدل VivoBook R1605ZA پردازنده Core i5 رم 16GB حافظه 512GB SSD گرافیک INTEL,VivoBook R1605ZA Core i5 1235U 16GB 512GB SSD INTEL WUXGA Laptop,0.64,50797500.0
190,2.3,نوت بوک (لپ تاپ),15.6,ips,1080 * 1920,AMD,Ryzen 7,Ryzen 7 6800H,16.0,1024.0,SSD,SSD NVMe,Nvidia,rtx3050,,49989000.0,49789000.0,لپ تاپ ایسوس 15.6 اینچی مدل ROG Strix G513RC پردازنده Ryzen 7 6800H رم 16GB حافظه 1TB SSD گرافیک 4GB RTX3050,ROG Strix G15 G513RC Ryzen 7 6800H 16GB 1TB SSD 4GB RTX3050 Full HD Laptop,0.4,78080220.0
191,1.8,نوت بوک (لپ تاپ),15.6,fhd,1080 * 1920,INTEL,Core i5,i5-1135G7,12.0,528.0,SSD,SSD NVMe,Nvidia,geforcemx330,,27399000.0,27289000.0,لپ تاپ ایسوس 15.6 اینچی مدل X515EP پردازنده Core i5 1135G7 رم 12GB حافظه 512GB SSD گرافیک 2GB,X515EP Core i5 1135G7 12GB 512GB SSD 2GB MX330 FHD Laptop,0.4,30175182.5
192,1.8,نوت بوک (لپ تاپ),15.6,fhd,1080 * 1920,INTEL,Core i7,i7 1165G7,16.0,1024.0,SSD,SSD NVMe,Nvidia,geforcemx330,,32799000.0,32649000.0,لپ تاپ ایسوس 15.6 اینچی مدل X515EP پردازنده Core i7 1165G7 رم 16GB حافظه 1TB SSD گرافیک 2GB,X515EP Core i7 1165G7 16GB 1TB SSD 2GB MX330 FHD Laptop,0.46,33478809.64285714
