,Weight,Category,Screen_size,Screen_type,Screen_resolution,CPU_Brand,CPU_series,CPU_model,RAM,Storage_amount,Storage_type,Storage_info,GPU_Brand,GPU_Model,OS,original_price,after_discount,persian_info,full_info,discount_percent
1393,2.4 KG,نوت بوک (لپ تاپ),15.6,TFT LED-backlit LCD,1080 * 1920,INTEL,Core i7,i7-7700HQ,16.0,2048.0,SATA,,Nvidia Gforce,GTX 1050 TI,Dos,,,لپ تاپ ایسر مدل Aspire 7 A715 با پردازنده i7 و صفحه نمایش فول اچ دی,Aspire 7 A715 Core i7 16GB 2TB 4GB Full HD Laptop,0.0
1394,2.4 KG,نوت بوک (لپ تاپ),15.6,TFT LED-backlit LCD,1080 * 1920,INTEL,Core i5,i5-7200U,4.0,512000.0,SATA,,Nvidia Gforce,940MX,,,,لپ تاپ ایسر اسپایر مدل ای 5-575 جی با پردازنده i5 و صفحه نمایش فول اچ دی,Aspire E5-575G Core i5 4GB 500GB 2GB Full HD Laptop,0.0
1395,2.4 KG,نوت بوک (لپ تاپ),15.6,TFT LED-backlit LCD,768 * 1366,INTEL,Celeron,Celeron-N3050,4.0,512000.0,SATA,,Intel,HD Graphics,,,,لپ تاپ ایسر اسپایر مدل ای اس 1 با پردازنده سلرون,Aspire ES1-531 N3050 4GB 500GB Intel Laptop,0.0
1396,2.3 KG,نوت بوک (لپ تاپ),15.6,IPS LCD,1080 * 1920,INTEL,Core i7,i7-7700HQ,16.0,1311744.0,SSDSATA,,Nvidia Gforce,1050 TI,,,,لپ تاپ ایسر مدل وی 15 نیترو با پردازنده i7 و صفحه نمایش فول اچ دی,Aspire V15 Nitro Core i7 16GB 1TB+128GB SSD 4GB Full HD Laptop,0.0
1397,2.39 KG,نوت بوک (لپ تاپ),15.6,TFT LED-backlit LCD,768 * 1366,AMD,,A6-9210,8.0,1024.0,SATA,,AMD Radeon,R5 M430,,,,لپ تاپ ایسر اسپایر مدل ای 5-523 جی با پردازنده ای ام دی,Aspire E5-523G A6-9210 8GB 1TB 2GB Laptop,0.0
1398,2.4 KG,نوت بوک (لپ تاپ),15.6,TFT LED-backlit LCD,768 * 1366,AMD,Carrizo,A10-8700P,8.0,1024.0,SATA,,AMD Radeon,R8 M365DX,,,,لپ تاپ ایسر اسپایر مدل E5-552G جی با پردازنده ای ام دی,Aspire E5-552G A10-8700P 8GB 1TB 2GB Laptop,0.0
1399,2.39 KG,نوت بوک (لپ تاپ),15.6,TFT LED-backlit LCD,1080 * 1920,INTEL,Core i5,i5-6200U,8.0,1024.0,SATA,,Nvidia Gforce,940M,Dos,,,لپ تاپ ایسر اسپایر مدل ای 5 با پردازنده i5,Aspire E5-574G Core i5 8GB 1TB 4GB Full HD Laptop,0.0
1400,2.1 KG,نوت بوک (لپ تاپ),15.6,TFT LED-backlit LCD,768 * 1366,AMD,,A4-9120,4.0,512000.0,SATA,,AMD Radeon,R5 M520,,,,لپ تاپ ایسر مدل اسپایر A315-21 با پردازنده AMD,Aspire A315-21 A4-9120 4GB 500GB 2GB Laptop,0.0
1401,2.2 KG,نوت بوک (لپ تاپ),15.6,TFT LED-backlit LCD,1080 * 1920,INTEL,Core i5,i5-7200U,8.0,1024.0,SATA,,Nvidia Gforce,940MX GDDR5,,,,لپ تاپ ایسر اسپایر مدل ای 5-576 با پردازنده i5 و صفحه نمایش فول اچ دی,Aspire E5-576G Core i5 8GB 1TB 2GB Full HD Laptop,0.0
1402,2.1 KG,نوت بوک (لپ تاپ),15.6,TFT LED-backlit LCD,768 * 1366,INTEL,Celeron,Celeron-N4000,4.0,1024.0,SATA,,Intel,HD Graphics 500,,,,لپ تاپ 15 اینچی ایسر مدل Aspire A315-34-C7KD,Aspire A315-34-C7KD N4000 4GB 1TB Intel Laptop,0.0
1403,1.99 KG,نوت بوک (لپ تاپ),15.6,178°wide-view technology,1080 * 1920,INTEL,Core i7,i7-8750H,24.0,1024.0,HDD,,Nvidia Gforce,GTX 1050 GDDR5,,,,لپتاپ ایسوس مدل VivoBook Pro 15 N580GD با پردازنده i7 با صفحه نمایش Full HD,VivoBook Pro 15 N580GD Core i7 24GB 1TB 4GB Full HD Laptop,0.0
